CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1110643,BIOTECNOLOGIA,5,52,5208707,1,1,0512B02,Biotecnologia,05,"Ciências naturais, matemática e estatística",2018,2020,5,2022,8,2025,32,24,0,4,0,75,0,25,0,12.5
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1110643,BIOTECNOLOGIA,5,52,5208707,1,1,0512B02,Biotecnologia,05,"Ciências naturais, matemática e estatística",2018,2021,5,2022,8,2025,32,19,3,2,0,59.375,9.375,31.25,9.375,6.25
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1110643,BIOTECNOLOGIA,5,52,5208707,1,1,0512B02,Biotecnologia,05,"Ciências naturais, matemática e estatística",2018,2022,5,2022,8,2025,32,8,11,0,0,25,43.75,31.25,34.375,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1110644,MUSEOLOGIA,5,52,5208707,1,1,0322M01,Museologia,03,"Ciências sociais, comunicação e informação",2018,2018,5,2022,8,2025,29,27,0,2,0,93.10344828,0,6.896551724,0,6.896551724
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1110644,MUSEOLOGIA,5,52,5208707,1,1,0322M01,Museologia,03,"Ciências sociais, comunicação e informação",2018,2019,5,2022,8,2025,29,18,0,8,1,64.28571429,0,35.71428571,0,28.57142857
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1110644,MUSEOLOGIA,5,52,5208707,1,1,0322M01,Museologia,03,"Ciências sociais, comunicação e informação",2018,2020,5,2022,8,2025,29,12,0,6,0,42.85714286,0,57.14285714,0,21.42857143
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1110644,MUSEOLOGIA,5,52,5208707,1,1,0322M01,Museologia,03,"Ciências sociais, comunicação e informação",2018,2021,5,2022,8,2025,29,6,1,5,0,21.42857143,3.571428571,75,3.571428571,17.85714286
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1110644,MUSEOLOGIA,5,52,5208707,1,1,0322M01,Museologia,03,"Ciências sociais, comunicação e informação",2018,2022,5,2022,8,2025,29,5,0,1,0,17.85714286,3.571428571,78.57142857,0,3.571428571
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1110646,MúSICA - CANTO,5,52,5208707,2,1,0114M02,Música formação de professor,01,Educação,2018,2018,5,2022,8,2025,4,3,0,1,0,75,0,25,0,25
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1110646,MúSICA - CANTO,5,52,5208707,2,1,0114M02,Música formação de professor,01,Educação,2018,2019,5,2022,8,2025,4,2,0,1,0,50,0,50,0,25
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1110646,MúSICA - CANTO,5,52,5208707,2,1,0114M02,Música formação de professor,01,Educação,2018,2020,5,2022,8,2025,4,2,0,0,0,50,0,50,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1110646,MúSICA - CANTO,5,52,5208707,2,1,0114M02,Música formação de professor,01,Educação,2018,2021,5,2022,8,2025,4,1,0,1,0,25,0,75,0,25
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1110646,MúSICA - CANTO,5,52,5208707,2,1,0114M02,Música formação de professor,01,Educação,2018,2022,5,2022,8,2025,4,1,0,0,0,25,0,75,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1111225,ZOOTECNIA,5,52,5208707,1,1,0811Z01,Zootecnia,08,"Agricultura, silvicultura, pesca e veterinária",2018,2018,6,2023,10,2027,44,44,0,0,0,100,0,0,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1111225,ZOOTECNIA,5,52,5208707,1,1,0811Z01,Zootecnia,08,"Agricultura, silvicultura, pesca e veterinária",2018,2019,6,2023,10,2027,44,42,0,2,0,95.45454545,0,4.545454545,0,4.545454545
