CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2016,2016,5,2020,8,2023,9,8,0,1,0,88.88888889,0,11.11111111,0,11.11111111
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2016,2017,5,2020,8,2023,9,6,0,2,0,66.66666667,0,33.33333333,0,22.22222222
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2016,2018,5,2020,8,2023,9,6,0,0,0,66.66666667,0,33.33333333,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2016,2019,5,2020,8,2023,9,2,4,0,0,22.22222222,44.44444444,33.33333333,44.44444444,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2016,2020,5,2020,8,2023,9,1,1,0,0,11.11111111,55.55555556,33.33333333,11.11111111,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2016,2021,5,2020,8,2023,9,0,1,0,0,0,66.66666667,33.33333333,11.11111111,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2016,2022,5,2020,8,2023,9,0,0,0,0,0,66.66666667,33.33333333,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2016,2016,6,2021,10,2025,83,77,0,6,0,92.77108434,0,7.228915663,0,7.228915663
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2016,2017,6,2021,10,2025,83,65,2,10,0,78.31325301,2.409638554,19.27710843,2.409638554,12.04819277
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2016,2018,6,2021,10,2025,83,61,0,4,0,73.4939759,2.409638554,24.09638554,0,4.819277108
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2016,2019,6,2021,10,2025,83,35,14,12,0,42.1686747,19.27710843,38.55421687,16.86746988,14.45783133
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2016,2020,6,2021,10,2025,83,19,11,5,0,22.89156627,32.53012048,44.57831325,13.25301205,6.024096386
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2016,2021,6,2021,10,2025,83,12,4,3,0,14.45783133,37.34939759,48.19277108,4.819277108,3.614457831
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2016,2022,6,2021,10,2025,83,6,5,1,0,7.228915663,43.37349398,49.39759036,6.024096386,1.204819277
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14091,ENFERMAGEM,5,52,5208707,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2016,2016,6,2021,10,2025,58,52,0,6,0,89.65517241,0,10.34482759,0,10.34482759
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14091,ENFERMAGEM,5,52,5208707,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2016,2017,6,2021,10,2025,58,50,0,2,0,86.20689655,0,13.79310345,0,3.448275862
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14091,ENFERMAGEM,5,52,5208707,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2016,2018,6,2021,10,2025,58,44,0,6,0,75.86206897,0,24.13793103,0,10.34482759
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14091,ENFERMAGEM,5,52,5208707,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2016,2019,6,2021,10,2025,58,41,0,3,0,70.68965517,0,29.31034483,0,5.172413793
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14091,ENFERMAGEM,5,52,5208707,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2016,2020,6,2021,10,2025,58,18,23,0,0,31.03448276,39.65517241,29.31034483,39.65517241,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14091,ENFERMAGEM,5,52,5208707,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2016,2021,6,2021,10,2025,58,8,6,4,0,13.79310345,50,36.20689655,10.34482759,6.896551724
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14091,ENFERMAGEM,5,52,5208707,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2016,2022,6,2021,10,2025,58,2,4,2,0,3.448275862,56.89655172,39.65517241,6.896551724,3.448275862
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14092,FARMÁCIA,5,52,5208707,1,1,0916F01,Farmácia,09,Saúde e bem-estar,2016,2016,6,2021,10,2025,101,95,0,6,0,94.05940594,0,5.940594059,0,5.940594059
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14092,FARMÁCIA,5,52,5208707,1,1,0916F01,Farmácia,09,Saúde e bem-estar,2016,2017,6,2021,10,2025,101,80,0,15,0,79.20792079,0,20.79207921,0,14.85148515
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14092,FARMÁCIA,5,52,5208707,1,1,0916F01,Farmácia,09,Saúde e bem-estar,2016,2018,6,2021,10,2025,101,77,0,3,0,76.23762376,0,23.76237624,0,2.97029703
