CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1135935,ECOLOGIA E ANÁLISE AMBIENTAL,5,52,5208707,1,1,0521E01,Ecologia,05,"Ciências naturais, matemática e estatística",2015,2020,5,2019,8,2022,66,6,7,2,0,9.090909091,27.27272727,63.63636364,10.60606061,3.03030303
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1135935,ECOLOGIA E ANÁLISE AMBIENTAL,5,52,5208707,1,1,0521E01,Ecologia,05,"Ciências naturais, matemática e estatística",2015,2021,5,2019,8,2022,66,4,2,0,0,6.060606061,30.3030303,63.63636364,3.03030303,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1135939,DIREÇÃO DE ARTE,5,52,5208707,1,1,0215A01,Artes cênicas,02,Artes e humanidades,2015,2015,5,2019,8,2022,33,28,0,5,0,84.84848485,0,15.15151515,0,15.15151515
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1135939,DIREÇÃO DE ARTE,5,52,5208707,1,1,0215A01,Artes cênicas,02,Artes e humanidades,2015,2016,5,2019,8,2022,33,19,0,9,0,57.57575758,0,42.42424242,0,27.27272727
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1135939,DIREÇÃO DE ARTE,5,52,5208707,1,1,0215A01,Artes cênicas,02,Artes e humanidades,2015,2017,5,2019,8,2022,33,14,0,5,0,42.42424242,0,57.57575758,0,15.15151515
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1135939,DIREÇÃO DE ARTE,5,52,5208707,1,1,0215A01,Artes cênicas,02,Artes e humanidades,2015,2018,5,2019,8,2022,33,9,3,2,0,27.27272727,9.090909091,63.63636364,9.090909091,6.060606061
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1135939,DIREÇÃO DE ARTE,5,52,5208707,1,1,0215A01,Artes cênicas,02,Artes e humanidades,2015,2019,5,2019,8,2022,33,4,4,1,0,12.12121212,21.21212121,66.66666667,12.12121212,3.03030303
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1135939,DIREÇÃO DE ARTE,5,52,5208707,1,1,0215A01,Artes cênicas,02,Artes e humanidades,2015,2020,5,2019,8,2022,33,2,1,1,0,6.060606061,24.24242424,69.6969697,3.03030303,3.03030303
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1135939,DIREÇÃO DE ARTE,5,52,5208707,1,1,0215A01,Artes cênicas,02,Artes e humanidades,2015,2021,5,2019,8,2022,33,1,0,1,0,3.03030303,24.24242424,72.72727273,0,3.03030303
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1151198,DANÇA,5,52,5208707,2,1,0114D01,Dança formação de professor,01,Educação,2015,2015,5,2019,8,2022,26,18,0,8,0,69.23076923,0,30.76923077,0,30.76923077
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1151198,DANÇA,5,52,5208707,2,1,0114D01,Dança formação de professor,01,Educação,2015,2016,5,2019,8,2022,26,17,0,1,0,65.38461538,0,34.61538462,0,3.846153846
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1151198,DANÇA,5,52,5208707,2,1,0114D01,Dança formação de professor,01,Educação,2015,2017,5,2019,8,2022,26,15,0,2,0,57.69230769,0,42.30769231,0,7.692307692
