CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2017,2017,5,2021,8,2024,6,6,0,0,0,100,0,0,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2017,2018,5,2021,8,2024,6,6,0,0,0,100,0,0,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2017,2019,5,2021,8,2024,6,6,0,0,0,100,0,0,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2017,2020,5,2021,8,2024,6,2,4,0,0,33.33333333,66.66666667,0,66.66666667,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2017,2021,5,2021,8,2024,6,1,1,0,0,16.66666667,83.33333333,0,16.66666667,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2017,2022,5,2021,8,2024,6,1,0,0,0,16.66666667,83.33333333,0,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2017,2017,6,2022,10,2026,78,74,0,4,0,94.87179487,0,5.128205128,0,5.128205128
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2017,2018,6,2022,10,2026,78,66,0,8,0,84.61538462,0,15.38461538,0,10.25641026
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2017,2019,6,2022,10,2026,78,57,2,7,0,73.07692308,2.564102564,24.35897436,2.564102564,8.974358974
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2017,2020,6,2022,10,2026,78,48,5,4,0,61.53846154,8.974358974,29.48717949,6.41025641,5.128205128
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2017,2021,6,2022,10,2026,78,26,17,5,0,33.33333333,30.76923077,35.8974359,21.79487179,6.41025641
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2017,2022,6,2022,10,2026,78,14,4,8,0,17.94871795,35.8974359,46.15384615,5.128205128,10.25641026
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14091,ENFERMAGEM,5,52,5208707,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2017,2017,6,2022,10,2026,68,63,0,5,0,92.64705882,0,7.352941176,0,7.352941176
